msa,status,n_taxa,n_realA,n_realB,n_inherited,n_inhA,n_inhB,O_A,O_B,merged_taxa,taxa_ok,loglik,rf_true,nrf_true,n_common,faith_a,faith_b,faithful,ll_score,ll_raxml,ll_diff,raxml_agree,raxml_err,mode,seed,budget,time_sec,error
random_tree_255,ok,200,97,83,20,11,9,T141,T70,200,1,-114800.9321,22,0.0558,200,0,0,1,-114800.9321,-114800.9321,0.0,1,,ml,42,0,30.21,
random_tree_256,ok,200,70,110,20,8,12,T150,T96,200,1,-117097.6789,30,0.0761,200,0,0,1,-117097.6789,-117097.6789,0.0,1,,ml,42,0,33.94,
random_tree_257,ok,200,90,90,20,10,10,T4,T50,200,1,-121267.6859,26,0.066,200,0,0,1,-121267.6859,-121267.6859,0.0,1,,ml,42,0,33.53,
random_tree_258,ok,200,102,78,20,11,9,T139,T75,200,1,-111984.6643,22,0.0558,200,0,0,1,-111984.6643,-111984.6643,0.0,1,,ml,42,0,37.47,
random_tree_259,ok,200,77,103,20,8,12,T22,T79,200,1,-118742.7544,28,0.0711,200,0,0,1,-118742.7544,-118742.7544,0.0,1,,ml,42,0,36.27,
random_tree_260,ok,200,94,86,20,10,10,T154,T51,200,1,-104084.7053,22,0.0558,200,0,0,1,-104084.7053,-104084.7053,0.0,1,,ml,42,0,30.64,
random_tree_027,ok,200,90,90,20,10,10,T45,T46,200,1,-114337.8018,30,0.0761,200,0,0,1,-114337.8018,-114337.8018,0.0,1,,ml,42,0,74.0,
random_tree_261,ok,200,75,105,20,8,12,T153,T9,200,1,-117687.7837,12,0.0305,200,0,0,1,-117687.7837,-117687.7837,0.0,1,,ml,42,0,34.07,
random_tree_262,ok,200,83,97,20,9,11,T123,T177,200,1,-116904.574,28,0.0711,200,0,0,1,-116904.574,-116904.574,0.0,1,,ml,42,0,29.62,
random_tree_263,ok,200,96,84,20,11,9,T143,T70,200,1,-118286.0471,22,0.0558,200,0,0,1,-118286.0471,-118286.0471,0.0,1,,ml,42,0,34.81,
random_tree_264,ok,200,74,106,20,8,12,T154,T88,200,1,-120311.5059,36,0.0914,200,0,0,1,-120311.5059,-120311.5059,0.0,1,,ml,42,0,36.98,
random_tree_265,ok,200,102,78,20,11,9,T139,T7,200,1,-112674.4011,26,0.066,200,0,0,1,-112674.4011,-112674.4011,0.0,1,,ml,42,0,35.96,
